time_stamp,pm2.5_atm
2023-08-20T12:20:00Z,41.518
2023-08-20T12:30:00Z,41.866
2023-08-20T12:40:00Z,42.59
2023-08-20T12:50:00Z,43.712
2023-08-20T13:00:00Z,44.771
2023-08-20T13:10:00Z,45.491
2023-08-20T13:20:00Z,46.48
2023-08-20T13:30:00Z,46.688
2023-08-20T13:40:00Z,46.913
2023-08-20T13:50:00Z,46.628
2023-08-20T14:00:00Z,46.962
2023-08-20T14:10:00Z,47.006
2023-08-20T14:20:00Z,47.236000000000004
2023-08-20T14:30:00Z,47.424
2023-08-20T14:40:00Z,47.396
2023-08-20T14:50:00Z,47.741
2023-08-20T15:00:00Z,47.373999999999995
2023-08-20T15:10:00Z,47.6
2023-08-20T15:20:00Z,47.869
2023-08-20T15:30:00Z,48.230999999999995
2023-08-20T15:40:00Z,48.370000000000005
2023-08-20T15:50:00Z,48.291
2023-08-20T16:00:00Z,47.925
2023-08-20T16:10:00Z,48.236999999999995
2023-08-20T16:20:00Z,48.117000000000004
2023-08-20T16:30:00Z,48.432
2023-08-20T16:40:00Z,49.33
2023-08-20T16:50:00Z,49.671
2023-08-20T17:00:00Z,50.269000000000005
2023-08-20T17:10:00Z,51.074
2023-08-20T17:20:00Z,52.32
2023-08-20T17:30:00Z,53.857
2023-08-20T17:40:00Z,55.355000000000004
2023-08-20T17:50:00Z,56.836
2023-08-20T18:00:00Z,56.702
2023-08-20T18:10:00Z,59.152
2023-08-20T18:20:00Z,60.541
2023-08-20T18:30:00Z,61.342
2023-08-20T18:40:00Z,62.716
2023-08-20T18:50:00Z,63.658
2023-08-20T19:00:00Z,64.447
2023-08-20T19:10:00Z,66.81
2023-08-20T19:20:00Z,71.065
2023-08-20T19:30:00Z,71.509
2023-08-20T19:40:00Z,71.195
2023-08-20T19:50:00Z,72.893
2023-08-20T20:00:00Z,72.539
2023-08-20T20:10:00Z,71.979
2023-08-20T20:20:00Z,70.99799999999999
2023-08-20T20:30:00Z,73.975
2023-08-20T20:40:00Z,75.55199999999999
2023-08-20T20:50:00Z,77.315
2023-08-20T21:00:00Z,78.12100000000001
2023-08-20T21:10:00Z,80.744
2023-08-20T21:20:00Z,81.843
2023-08-20T21:30:00Z,84.119
2023-08-20T21:40:00Z,86.338
2023-08-20T21:50:00Z,87.445
2023-08-20T22:00:00Z,91.64699999999999
2023-08-20T22:10:00Z,93.53
2023-08-20T22:20:00Z,95.578
2023-08-20T22:30:00Z,96.77000000000001
2023-08-20T22:40:00Z,95.62899999999999
2023-08-20T22:50:00Z,99.924
2023-08-20T23:00:00Z,99.774
2023-08-20T23:10:00Z,98.979
2023-08-20T23:20:00Z,98.82300000000001
2023-08-20T23:30:00Z,99.378
2023-08-20T23:40:00Z,98.449
2023-08-20T23:50:00Z,98.138
2023-08-21T00:00:00Z,95.843
2023-08-21T00:10:00Z,95.362
2023-08-21T00:20:00Z,92.684
2023-08-21T00:30:00Z,93.937
2023-08-21T00:40:00Z,93.08500000000001
2023-08-21T00:50:00Z,92.713
2023-08-21T01:00:00Z,94.61500000000001
2023-08-21T01:10:00Z,97.327
2023-08-21T01:20:00Z,100.116
2023-08-21T01:30:00Z,101.61099999999999
2023-08-21T01:40:00Z,104.663
